"Top Level Domain","U-Label","Translation","Agreement Type","Operator","Agreement Status","Agreement Date","Link"
"kuokgroup",,,"Base, Non-Sponsored","Kerry Trading Co. Limited","active","9 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/kuokgroup"
"kyknet",,,"Base, Brand (Spec 13), Non-Sponsored","Electronic Media Network (Pty) Ltd","terminated","5 Mar 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/kyknet"
"kyoto",,,"Base, Non-Sponsored","Academic Institution: Kyoto Jyoho Gakuen","active","7 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/kyoto"
"lacaixa",,,"Base, Non-Sponsored","Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona, ""la Caixa""","active","9 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/lacaixa"
"ladbrokes",,,"Base, Brand (Spec 13), Non-Sponsored","LADBROKES INTERNATIONAL PLC","terminated","6 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/ladbrokes"
"lamborghini",,,"Base, Brand (Spec 13), Community (Spec 12), Non-Sponsored","Automobili Lamborghini S.p.A.","active","4 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/lamborghini"
"lamer",,,"Base, Brand (Spec 13), Non-Sponsored","The Estée Lauder Companies Inc.","active","1 Oct 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/lamer"
"lancaster",,,"Base, Brand (Spec 13), Non-Sponsored","LANCASTER","terminated","12 Feb 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/lancaster"
"lancia",,,"Base, Brand (Spec 13), Non-Sponsored","Fiat Chrysler Automobiles N.V.","terminated","31 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/lancia"
"lancome",,,"Base, Brand (Spec 13), Non-Sponsored","L'Oréal","terminated","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/lancome"
"land",,,"Base, Non-Sponsored","Binky Moon, LLC","active","10 Sep 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/land"
"landrover",,,"Base, Brand (Spec 13), Non-Sponsored","Jaguar Land Rover Ltd","active","13 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/landrover"
